K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
48,0.6357,0.6992,0.6959,0.6812,0.4384,0.6301,0.6436
49,0.6269,0.6895,0.6873,0.6745,0.4233,0.6203,0.6338
50,0.6437,0.6850,0.6911,0.6810,0.4961,0.6394,0.6486
51,0.6475,0.6869,0.7087,0.7116,0.5129,0.6535,0.6606
52,0.6515,0.7106,0.7237,0.7520,0.5315,0.6738,0.6794
53,0.6399,0.7062,0.7025,0.6837,0.4490,0.6363,0.6490
54,0.6491,0.6812,0.6865,0.6507,0.4684,0.6272,0.6408
55,0.6431,0.6969,0.7105,0.7282,0.4695,0.6496,0.6596
56,0.6505,0.7090,0.7064,0.7358,0.5113,0.6626,0.6698
57,0.6419,0.6911,0.6967,0.6944,0.4449,0.6338,0.6472
58,0.6487,0.7024,0.7139,0.7187,0.4829,0.6533,0.6634
59,0.6500,0.7013,0.7282,0.7236,0.4773,0.6561,0.6660
60,0.6579,0.7045,0.7132,0.7262,0.5127,0.6629,0.6710
61,0.6494,0.7070,0.7023,0.7088,0.5220,0.6579,0.6646
62,0.6415,0.7023,0.7244,0.7216,0.4883,0.6556,0.6648
63,0.6507,0.7013,0.7123,0.6845,0.4899,0.6477,0.6588
64,0.6431,0.7057,0.7147,0.7175,0.4827,0.6527,0.6622
65,0.6434,0.7043,0.7151,0.7117,0.5168,0.6583,0.6654
66,0.6449,0.7084,0.7061,0.7382,0.5324,0.6660,0.6712
67,0.6525,0.7240,0.7157,0.7136,0.5151,0.6642,0.6722
68,0.6304,0.7069,0.7160,0.6839,0.4116,0.6298,0.6458
69,0.6558,0.7111,0.7039,0.7192,0.5051,0.6590,0.6672
70,0.6562,0.7056,0.7223,0.7406,0.5153,0.6680,0.6754
71,0.6482,0.7200,0.7251,0.7381,0.5101,0.6683,0.6752
72,0.6472,0.6951,0.6892,0.6807,0.4970,0.6418,0.6518
73,0.6367,0.7149,0.7062,0.6953,0.4620,0.6430,0.6536
74,0.6380,0.6992,0.7171,0.7300,0.4247,0.6418,0.6550
75,0.6457,0.6881,0.7160,0.7334,0.4281,0.6423,0.6562
76,0.6484,0.7013,0.7059,0.7187,0.5014,0.6552,0.6636
77,0.6454,0.7141,0.7139,0.7244,0.4706,0.6537,0.6642
78,0.6463,0.7087,0.7113,0.7320,0.4818,0.6560,0.6650
79,0.6400,0.6955,0.7021,0.7078,0.4255,0.6342,0.6488
80,0.6394,0.7045,0.6931,0.7098,0.4561,0.6406,0.6514
81,0.6542,0.6932,0.6963,0.7142,0.5051,0.6526,0.6608
82,0.6554,0.7189,0.7140,0.6942,0.5123,0.6590,0.6676
83,0.6413,0.7079,0.7114,0.7157,0.4804,0.6513,0.6602
84,0.6385,0.7187,0.7153,0.7313,0.4537,0.6515,0.6624
85,0.6473,0.7196,0.7172,0.7497,0.4863,0.6640,0.6726
86,0.6430,0.7127,0.7213,0.7182,0.4540,0.6498,0.6616
87,0.6596,0.7102,0.7205,0.7296,0.5280,0.6696,0.6756
88,0.6489,0.7162,0.7129,0.7496,0.4791,0.6614,0.6710
89,0.6545,0.6958,0.7066,0.7293,0.4760,0.6524,0.6632
90,0.6589,0.7155,0.7165,0.7419,0.5122,0.6690,0.6768
91,0.6555,0.7190,0.7247,0.7558,0.5196,0.6749,0.6814
92,0.6624,0.7212,0.7300,0.7447,0.5328,0.6782,0.6848
93,0.6647,0.7138,0.7271,0.7276,0.5306,0.6728,0.6802
94,0.6587,0.7100,0.7346,0.7539,0.4960,0.6706,0.6802
95,0.6568,0.7152,0.7145,0.7521,0.4652,0.6608,0.6722
96,0.6586,0.7193,0.7125,0.7168,0.5026,0.6619,0.6710
97,0.6548,0.7132,0.7249,0.7334,0.5184,0.6690,0.6762
98,0.6523,0.7168,0.7063,0.7447,0.5139,0.6668,0.6730
99,0.6593,0.7184,0.7094,0.7303,0.5289,0.6693,0.6756
100,0.6547,0.7213,0.7136,0.7416,0.5375,0.6737,0.6798
