K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.5273,0.3398,0.4778,0.6129,0.2735,0.4463,0.4660
5,0.6779,0.5757,0.6227,0.0402,0.6584,0.5150,0.5740
6,0.6905,0.6324,0.6994,0.6470,0.7247,0.6788,0.6840
7,0.7178,0.5969,0.6221,0.6395,0.7142,0.6581,0.6652
8,0.6085,0.6089,0.6589,0.6447,0.1625,0.5367,0.5756
9,0.6171,0.5960,0.6080,0.5681,0.0750,0.4928,0.5524
10,0.6778,0.6592,0.6678,0.6727,0.6456,0.6646,0.6696
11,0.6719,0.6736,0.7182,0.7001,0.6449,0.6818,0.6840
12,0.6727,0.6507,0.6606,0.6297,0.6059,0.6439,0.6502
13,0.6537,0.6615,0.6935,0.6851,0.5439,0.6475,0.6542
14,0.6508,0.6631,0.7034,0.6473,0.5523,0.6434,0.6514
15,0.6520,0.6686,0.6768,0.6360,0.5160,0.6299,0.6434
16,0.6755,0.6923,0.7156,0.6947,0.5924,0.6741,0.6788
17,0.6527,0.6677,0.6654,0.6832,0.5148,0.6367,0.6456
18,0.6541,0.6488,0.6632,0.6637,0.4900,0.6240,0.6358
19,0.6421,0.6777,0.7033,0.6850,0.4435,0.6303,0.6444
20,0.6451,0.6765,0.6978,0.6667,0.5462,0.6464,0.6542
21,0.6667,0.6698,0.6938,0.6725,0.5847,0.6575,0.6632
22,0.6428,0.6373,0.6489,0.5989,0.4877,0.6031,0.6192
23,0.6675,0.6966,0.6949,0.6226,0.5440,0.6451,0.6574
24,0.6427,0.6983,0.6861,0.6664,0.4819,0.6351,0.6462
25,0.6630,0.6848,0.6949,0.6901,0.5899,0.6645,0.6686
26,0.6682,0.6985,0.7048,0.6958,0.5804,0.6695,0.6754
27,0.6470,0.6729,0.6858,0.6795,0.5108,0.6392,0.6474
28,0.6546,0.6827,0.6930,0.6670,0.5048,0.6404,0.6514
29,0.6434,0.6765,0.6944,0.6894,0.4636,0.6335,0.6466
30,0.6479,0.6815,0.6879,0.6856,0.5074,0.6421,0.6504
31,0.6515,0.6912,0.7048,0.7147,0.5517,0.6628,0.6670
32,0.6594,0.6791,0.7196,0.6782,0.5315,0.6536,0.6618
33,0.6570,0.6854,0.6999,0.6608,0.5333,0.6473,0.6556
34,0.6463,0.7021,0.7131,0.6842,0.4889,0.6469,0.6576
35,0.6457,0.6881,0.6998,0.7003,0.4913,0.6451,0.6542
36,0.6484,0.7035,0.7201,0.7045,0.5030,0.6559,0.6646
37,0.6518,0.7080,0.7246,0.7267,0.5117,0.6646,0.6724
38,0.6496,0.6803,0.6935,0.6579,0.4621,0.6287,0.6434
39,0.6460,0.6504,0.6874,0.6826,0.4551,0.6243,0.6376
40,0.6602,0.6751,0.6967,0.7112,0.5430,0.6572,0.6632
41,0.6441,0.6957,0.7012,0.6809,0.5090,0.6462,0.6546
42,0.6489,0.6886,0.7111,0.6839,0.5310,0.6527,0.6604
43,0.6492,0.7061,0.7132,0.6776,0.5181,0.6528,0.6608
44,0.6350,0.7076,0.6963,0.6662,0.4571,0.6324,0.6450
45,0.6468,0.7069,0.7032,0.6325,0.4931,0.6365,0.6510
46,0.6497,0.7144,0.7145,0.7123,0.4905,0.6563,0.6664
47,0.6517,0.6868,0.6864,0.7059,0.4976,0.6457,0.6544
