K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.6576,0.6163,0.4662,0.5800,0.6033
3,0.7730,0.6578,0.0098,0.4802,0.5863
4,0.7559,0.6286,0.5547,0.6464,0.6870
5,0.6781,0.6263,0.0020,0.4354,0.5447
6,0.8102,0.6387,0.0000,0.4830,0.5963
7,0.8424,0.7485,0.5089,0.6999,0.7363
8,0.8323,0.6997,0.6413,0.7244,0.7407
9,0.8300,0.7224,0.5676,0.7067,0.7340
10,0.8197,0.7293,0.5850,0.7114,0.7357
11,0.8264,0.7291,0.5955,0.7170,0.7400
12,0.8145,0.7086,0.4850,0.6694,0.7053
13,0.8328,0.7386,0.6415,0.7376,0.7527
14,0.8274,0.7218,0.6438,0.7310,0.7463
15,0.8304,0.7108,0.6901,0.7438,0.7523
16,0.8287,0.7267,0.5188,0.6914,0.7200
17,0.8302,0.7249,0.6878,0.7476,0.7570
18,0.8345,0.7240,0.6496,0.7360,0.7493
19,0.8372,0.7424,0.6522,0.7440,0.7563
20,0.8286,0.7334,0.6599,0.7406,0.7503
21,0.8388,0.7259,0.5870,0.7172,0.7357
22,0.8381,0.7333,0.5996,0.7236,0.7423
23,0.8387,0.7377,0.6453,0.7406,0.7513
24,0.8350,0.7392,0.7113,0.7619,0.7680
25,0.8363,0.7542,0.7181,0.7695,0.7743
26,0.8337,0.7625,0.6800,0.7587,0.7680
27,0.8376,0.7540,0.6852,0.7589,0.7670
28,0.8260,0.7435,0.6724,0.7473,0.7567
29,0.8362,0.7411,0.5983,0.7252,0.7420
30,0.8284,0.7596,0.6826,0.7569,0.7653
31,0.8277,0.7343,0.6287,0.7302,0.7430
32,0.8364,0.7433,0.6364,0.7387,0.7517
33,0.8185,0.7284,0.6297,0.7255,0.7377
34,0.8251,0.7399,0.6413,0.7354,0.7473
35,0.8336,0.7261,0.6208,0.7268,0.7400
36,0.8376,0.7562,0.6522,0.7487,0.7590
37,0.8375,0.7613,0.6771,0.7586,0.7677
38,0.8317,0.7435,0.6337,0.7363,0.7487
39,0.8331,0.7524,0.6434,0.7430,0.7553
40,0.8341,0.7387,0.6395,0.7374,0.7497
41,0.8455,0.7699,0.6603,0.7586,0.7693
42,0.8329,0.7447,0.6365,0.7380,0.7507
43,0.8300,0.7426,0.6322,0.7349,0.7473
44,0.8326,0.7588,0.6550,0.7488,0.7603
45,0.8292,0.7226,0.5142,0.6886,0.7170
46,0.8323,0.7329,0.5628,0.7093,0.7300
47,0.8250,0.7456,0.6092,0.7266,0.7417
48,0.8423,0.7534,0.6376,0.7444,0.7583
49,0.8373,0.7570,0.6539,0.7494,0.7607
50,0.8277,0.7481,0.6346,0.7368,0.7490
51,0.8338,0.7343,0.5877,0.7186,0.7373
52,0.8371,0.7353,0.5978,0.7234,0.7410
53,0.8417,0.7432,0.6081,0.7310,0.7480
54,0.8393,0.7427,0.6465,0.7428,0.7547
55,0.8388,0.7392,0.5858,0.7213,0.7407
56,0.8259,0.7391,0.5638,0.7096,0.7310
57,0.8391,0.7468,0.6098,0.7319,0.7483
58,0.8386,0.7566,0.6442,0.7465,0.7587
59,0.8335,0.7581,0.6305,0.7407,0.7557
60,0.8342,0.7498,0.6613,0.7484,0.7597
61,0.8354,0.7457,0.6220,0.7343,0.7497
62,0.8372,0.7471,0.6452,0.7432,0.7563
63,0.8314,0.7553,0.6606,0.7491,0.7597
64,0.8354,0.7586,0.6796,0.7579,0.7663
65,0.8392,0.7537,0.6384,0.7438,0.7570
66,0.8380,0.7397,0.5865,0.7214,0.7407
67,0.8377,0.7334,0.5873,0.7195,0.7387
68,0.8277,0.7390,0.5885,0.7184,0.7373
69,0.8421,0.7362,0.5974,0.7252,0.7427
70,0.8345,0.7566,0.6132,0.7348,0.7513
71,0.8394,0.7352,0.5875,0.7207,0.7393
72,0.8357,0.7357,0.6001,0.7238,0.7400
73,0.8322,0.7454,0.6105,0.7294,0.7453
74,0.8339,0.7424,0.6078,0.7280,0.7440
75,0.8388,0.7530,0.6376,0.7431,0.7563
76,0.8320,0.7426,0.6074,0.7273,0.7430
77,0.8334,0.7458,0.6107,0.7300,0.7457
78,0.8338,0.7236,0.5535,0.7036,0.7270
79,0.8330,0.7458,0.5836,0.7208,0.7407
80,0.8360,0.7389,0.5879,0.7209,0.7403
81,0.8338,0.7296,0.5668,0.7101,0.7303
82,0.8284,0.7406,0.5797,0.7162,0.7357
83,0.8313,0.7463,0.6241,0.7339,0.7483
84,0.8371,0.7575,0.6459,0.7468,0.7600
85,0.8395,0.7272,0.5346,0.7004,0.7283
86,0.8346,0.7317,0.5636,0.7100,0.7323
87,0.8350,0.7436,0.6440,0.7409,0.7537
88,0.8336,0.7352,0.5980,0.7223,0.7397
89,0.8312,0.7440,0.5877,0.7210,0.7400
90,0.8390,0.7355,0.5944,0.7230,0.7417
91,0.8267,0.7226,0.5580,0.7025,0.7247
92,0.8391,0.7476,0.6223,0.7363,0.7513
93,0.8375,0.7309,0.5416,0.7033,0.7290
94,0.8335,0.7402,0.6186,0.7307,0.7453
95,0.8265,0.7266,0.5494,0.7008,0.7243
96,0.8312,0.7239,0.5517,0.7022,0.7247
97,0.8400,0.7173,0.5419,0.6997,0.7230
98,0.8400,0.7173,0.5419,0.6997,0.7230
99,0.8432,0.7236,0.5351,0.7006,0.7260
100,0.8432,0.7236,0.5351,0.7006,0.7260
