K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.5442,0.4741,0.4686,0.5543,0.3175,0.4717,0.4880
5,0.6201,0.5995,0.5846,0.1075,0.3452,0.4514,0.5176
6,0.6300,0.6585,0.6245,0.6893,0.4124,0.6029,0.6222
7,0.6564,0.6650,0.5246,0.6519,0.3724,0.5741,0.6094
8,0.5820,0.6589,0.5701,0.6067,0.0000,0.4835,0.5456
9,0.5985,0.6850,0.5393,0.6281,0.0000,0.4902,0.5588
10,0.6287,0.6943,0.5937,0.6717,0.3573,0.5891,0.6142
11,0.6421,0.7268,0.7028,0.7323,0.4935,0.6595,0.6662
12,0.6441,0.7074,0.6284,0.6049,0.4575,0.6085,0.6276
13,0.6065,0.7014,0.6440,0.7069,0.2523,0.5822,0.6104
14,0.6125,0.7217,0.6773,0.6894,0.3281,0.6058,0.6296
15,0.6131,0.7006,0.6322,0.6440,0.2788,0.5738,0.6024
16,0.6504,0.7454,0.6886,0.7356,0.5409,0.6722,0.6760
17,0.6313,0.7042,0.6211,0.6948,0.4246,0.6152,0.6328
18,0.6120,0.6854,0.5882,0.6847,0.2966,0.5734,0.6008
19,0.6093,0.7167,0.6701,0.6995,0.2522,0.5896,0.6176
20,0.6237,0.7231,0.6801,0.7051,0.4613,0.6386,0.6470
21,0.6456,0.7152,0.6914,0.7214,0.5274,0.6602,0.6640
22,0.6282,0.6615,0.6447,0.5983,0.4417,0.5949,0.6124
23,0.6365,0.7427,0.6710,0.6649,0.4660,0.6362,0.6470
24,0.6191,0.7231,0.6570,0.6960,0.3898,0.6170,0.6320
25,0.6318,0.7224,0.6677,0.7031,0.5124,0.6475,0.6520
26,0.6393,0.7284,0.6681,0.7094,0.4834,0.6457,0.6542
27,0.6304,0.7399,0.6801,0.7309,0.4789,0.6520,0.6576
28,0.6292,0.7191,0.6692,0.6802,0.3893,0.6174,0.6338
29,0.6243,0.7109,0.6760,0.6883,0.3702,0.6139,0.6332
30,0.6254,0.7220,0.6827,0.7219,0.4279,0.6360,0.6466
31,0.6368,0.7320,0.6943,0.7184,0.4963,0.6556,0.6612
32,0.6344,0.7244,0.6936,0.7058,0.5011,0.6518,0.6578
33,0.6318,0.7319,0.6739,0.6901,0.4785,0.6412,0.6496
34,0.6274,0.7386,0.6848,0.7179,0.4289,0.6395,0.6516
35,0.6196,0.7285,0.6787,0.7136,0.4074,0.6295,0.6420
36,0.6281,0.7255,0.6946,0.7074,0.4417,0.6395,0.6496
37,0.6327,0.7431,0.6837,0.7396,0.4461,0.6490,0.6602
38,0.6206,0.7215,0.6718,0.6437,0.3581,0.6032,0.6246
39,0.6210,0.7305,0.6814,0.7207,0.3709,0.6249,0.6404
40,0.6299,0.7307,0.6755,0.7379,0.4550,0.6458,0.6550
41,0.6304,0.7364,0.6810,0.7264,0.4628,0.6474,0.6550
42,0.6288,0.7369,0.6811,0.7127,0.4769,0.6473,0.6556
43,0.6298,0.7430,0.6932,0.7014,0.4548,0.6444,0.6538
44,0.6178,0.7484,0.6799,0.6950,0.4055,0.6293,0.6416
45,0.6324,0.7320,0.6771,0.6704,0.4506,0.6325,0.6452
46,0.6323,0.7530,0.6968,0.7082,0.4425,0.6466,0.6574
47,0.6338,0.7350,0.6804,0.7232,0.4491,0.6443,0.6540
48,0.6131,0.7367,0.6810,0.6823,0.3489,0.6124,0.6308
49,0.6157,0.7311,0.6634,0.6659,0.3670,0.6086,0.6246
50,0.6258,0.7302,0.6768,0.6924,0.4125,0.6275,0.6402
51,0.6276,0.7288,0.6868,0.7162,0.4533,0.6425,0.6518
52,0.6341,0.7358,0.7013,0.7522,0.4667,0.6580,0.6662
53,0.6250,0.7358,0.6860,0.7046,0.4128,0.6328,0.6446
54,0.6361,0.7439,0.6861,0.6780,0.4398,0.6368,0.6498
55,0.6264,0.7532,0.7005,0.7339,0.4208,0.6470,0.6582
56,0.6289,0.7499,0.6870,0.7243,0.4404,0.6461,0.6562
57,0.6266,0.7198,0.6722,0.6964,0.4082,0.6247,0.6388
58,0.6347,0.7426,0.6906,0.7239,0.4397,0.6463,0.6576
59,0.6344,0.7261,0.6934,0.7174,0.4335,0.6409,0.6526
60,0.6352,0.7346,0.7042,0.7319,0.4528,0.6518,0.6616
61,0.6282,0.7345,0.6946,0.7134,0.4639,0.6469,0.6544
62,0.6253,0.7372,0.7002,0.7127,0.4470,0.6445,0.6544
63,0.6306,0.7420,0.6844,0.6972,0.4315,0.6372,0.6502
64,0.6174,0.7351,0.6832,0.7175,0.3839,0.6274,0.6422
65,0.6219,0.7443,0.6935,0.7198,0.4521,0.6463,0.6544
66,0.6278,0.7542,0.6991,0.7308,0.4672,0.6558,0.6634
67,0.6371,0.7506,0.6941,0.7247,0.4685,0.6550,0.6632
68,0.6184,0.7292,0.6789,0.6976,0.3916,0.6231,0.6382
69,0.6373,0.7448,0.6894,0.7226,0.4573,0.6503,0.6598
70,0.6328,0.7435,0.6949,0.7551,0.4149,0.6482,0.6610
71,0.6281,0.7523,0.7029,0.7595,0.4407,0.6567,0.6658
72,0.6293,0.7341,0.6999,0.6911,0.4348,0.6378,0.6504
73,0.6247,0.7387,0.6864,0.7056,0.4273,0.6365,0.6476
74,0.6207,0.7431,0.6973,0.7405,0.3932,0.6390,0.6520
75,0.6284,0.7420,0.7096,0.7284,0.4079,0.6433,0.6566
76,0.6269,0.7400,0.6893,0.7242,0.4613,0.6483,0.6564
77,0.6204,0.7605,0.7105,0.7490,0.3956,0.6472,0.6590
78,0.6253,0.7384,0.6748,0.7417,0.4136,0.6387,0.6504
79,0.6260,0.7515,0.6869,0.7256,0.4051,0.6390,0.6516
80,0.6219,0.7461,0.6868,0.7217,0.3885,0.6330,0.6462
81,0.6282,0.7438,0.6906,0.7286,0.4327,0.6448,0.6542
82,0.6304,0.7573,0.6954,0.7096,0.4326,0.6451,0.6558
83,0.6250,0.7487,0.6957,0.7174,0.4335,0.6440,0.6544
84,0.6267,0.7392,0.6993,0.7239,0.4241,0.6426,0.6540
85,0.6279,0.7492,0.6938,0.7540,0.4282,0.6506,0.6610
86,0.6263,0.7477,0.7030,0.7459,0.4287,0.6503,0.6606
87,0.6429,0.7391,0.7005,0.7425,0.4994,0.6649,0.6712
88,0.6389,0.7456,0.7102,0.7625,0.4929,0.6700,0.6762
89,0.6293,0.7398,0.6964,0.7402,0.4302,0.6472,0.6578
90,0.6372,0.7605,0.7072,0.7562,0.4606,0.6643,0.6726
91,0.6379,0.7557,0.7104,0.7590,0.4592,0.6644,0.6728
92,0.6354,0.7655,0.7115,0.7518,0.4767,0.6682,0.6750
93,0.6442,0.7579,0.7125,0.7381,0.4867,0.6679,0.6750
94,0.6270,0.7597,0.7264,0.7546,0.3985,0.6532,0.6660
95,0.6388,0.7549,0.7082,0.7504,0.4186,0.6542,0.6670
96,0.6353,0.7575,0.7119,0.7391,0.4560,0.6600,0.6692
97,0.6347,0.7475,0.7035,0.7398,0.4744,0.6600,0.6672
98,0.6277,0.7639,0.6999,0.7420,0.4428,0.6553,0.6646
99,0.6388,0.7544,0.7003,0.7176,0.4628,0.6548,0.6640
100,0.6310,0.7523,0.6968,0.7288,0.4652,0.6548,0.6630
