K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.6750,0.6369,0.5746,0.6288,0.6333
3,0.7258,0.6570,0.0798,0.4876,0.5733
4,0.8029,0.7546,0.6818,0.7464,0.7523
5,0.5520,0.6022,0.0020,0.3854,0.5053
6,0.7962,0.6494,0.0040,0.4832,0.5947
7,0.8552,0.7479,0.6080,0.7370,0.7553
8,0.8536,0.7449,0.6408,0.7464,0.7623
9,0.8417,0.7364,0.6061,0.7281,0.7520
10,0.8450,0.7583,0.6313,0.7449,0.7607
11,0.8422,0.7407,0.5987,0.7272,0.7473
12,0.8428,0.7365,0.5595,0.7129,0.7400
13,0.8455,0.7641,0.6939,0.7678,0.7767
14,0.8503,0.7690,0.7085,0.7759,0.7833
15,0.8569,0.7652,0.7197,0.7806,0.7867
16,0.8440,0.7182,0.5131,0.6917,0.7183
17,0.8505,0.7637,0.7310,0.7817,0.7870
18,0.8559,0.7541,0.7177,0.7759,0.7823
19,0.8689,0.7682,0.7103,0.7824,0.7890
20,0.8516,0.7446,0.6471,0.7477,0.7590
21,0.8551,0.7385,0.6117,0.7351,0.7497
22,0.8501,0.7501,0.6695,0.7565,0.7653
23,0.8543,0.7546,0.6709,0.7599,0.7680
24,0.8519,0.7747,0.7486,0.7917,0.7957
25,0.8557,0.7738,0.7368,0.7888,0.7927
26,0.8603,0.7762,0.7124,0.7830,0.7893
27,0.8558,0.7565,0.6718,0.7613,0.7710
28,0.8486,0.7499,0.6791,0.7592,0.7673
29,0.8484,0.7482,0.6495,0.7487,0.7597
30,0.8390,0.7614,0.6852,0.7618,0.7700
31,0.8553,0.7563,0.6954,0.7690,0.7763
32,0.8490,0.7529,0.6521,0.7514,0.7623
33,0.8461,0.7567,0.6759,0.7596,0.7690
34,0.8401,0.7554,0.6667,0.7541,0.7647
35,0.8524,0.7597,0.6933,0.7685,0.7760
36,0.8544,0.7547,0.6620,0.7570,0.7677
37,0.8591,0.7650,0.6882,0.7708,0.7797
38,0.8493,0.7581,0.6541,0.7538,0.7657
39,0.8505,0.7502,0.6512,0.7507,0.7620
40,0.8426,0.7550,0.6680,0.7552,0.7653
41,0.8601,0.7702,0.7041,0.7782,0.7850
42,0.8475,0.7591,0.6824,0.7630,0.7720
43,0.8512,0.7635,0.6988,0.7711,0.7787
44,0.8467,0.7755,0.7153,0.7792,0.7857
45,0.8463,0.7399,0.6067,0.7310,0.7483
46,0.8519,0.7452,0.6254,0.7409,0.7550
47,0.8488,0.7528,0.6549,0.7522,0.7637
48,0.8599,0.7622,0.6864,0.7695,0.7783
49,0.8510,0.7604,0.6696,0.7604,0.7713
50,0.8466,0.7517,0.6484,0.7489,0.7603
51,0.8461,0.7624,0.6677,0.7587,0.7693
52,0.8546,0.7682,0.6885,0.7704,0.7797
53,0.8562,0.7621,0.6935,0.7706,0.7787
54,0.8516,0.7756,0.7184,0.7819,0.7887
55,0.8537,0.7683,0.6834,0.7685,0.7780
56,0.8443,0.7675,0.6921,0.7680,0.7767
57,0.8530,0.7644,0.6688,0.7621,0.7730
58,0.8504,0.7695,0.6840,0.7680,0.7777
59,0.8491,0.7631,0.6773,0.7632,0.7730
60,0.8451,0.7575,0.6972,0.7666,0.7740
61,0.8496,0.7623,0.6846,0.7655,0.7743
62,0.8473,0.7634,0.7038,0.7715,0.7790
63,0.8500,0.7589,0.6917,0.7669,0.7747
64,0.8511,0.7694,0.7226,0.7811,0.7867
65,0.8526,0.7600,0.6676,0.7601,0.7710
66,0.8445,0.7508,0.6404,0.7452,0.7587
67,0.8505,0.7566,0.6714,0.7595,0.7700
68,0.8426,0.7456,0.6461,0.7448,0.7577
69,0.8490,0.7525,0.6619,0.7545,0.7657
70,0.8441,0.7593,0.6833,0.7622,0.7720
71,0.8502,0.7557,0.6640,0.7566,0.7680
72,0.8496,0.7466,0.6439,0.7467,0.7593
73,0.8508,0.7615,0.6774,0.7632,0.7730
74,0.8457,0.7543,0.6589,0.7530,0.7643
75,0.8463,0.7633,0.6891,0.7662,0.7750
76,0.8474,0.7622,0.6786,0.7627,0.7723
77,0.8464,0.7697,0.7053,0.7738,0.7810
78,0.8422,0.7492,0.6674,0.7529,0.7640
79,0.8468,0.7694,0.6927,0.7696,0.7787
80,0.8442,0.7544,0.6481,0.7489,0.7617
81,0.8479,0.7652,0.6870,0.7667,0.7760
82,0.8444,0.7482,0.6505,0.7477,0.7603
83,0.8422,0.7644,0.6732,0.7599,0.7710
84,0.8457,0.7675,0.6857,0.7663,0.7760
85,0.8488,0.7541,0.6510,0.7513,0.7640
86,0.8525,0.7638,0.6952,0.7705,0.7793
87,0.8479,0.7650,0.6855,0.7662,0.7760
88,0.8424,0.7621,0.6762,0.7602,0.7707
89,0.8470,0.7714,0.7128,0.7771,0.7843
90,0.8498,0.7654,0.6825,0.7659,0.7760
91,0.8389,0.7584,0.6741,0.7571,0.7680
92,0.8566,0.7714,0.6989,0.7756,0.7847
93,0.8516,0.7532,0.6506,0.7518,0.7643
94,0.8450,0.7592,0.7001,0.7681,0.7760
95,0.8393,0.7549,0.6842,0.7595,0.7687
96,0.8409,0.7640,0.6921,0.7657,0.7750
97,0.8546,0.7575,0.6668,0.7596,0.7710
98,0.8546,0.7575,0.6668,0.7596,0.7710
99,0.8549,0.7405,0.6269,0.7407,0.7547
100,0.8549,0.7405,0.6269,0.7407,0.7547
