K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.7706,0.6585,0.7610,0.7300,0.7367
3,0.7286,0.6648,0.1431,0.5122,0.5867
4,0.8317,0.6964,0.6930,0.7404,0.7580
5,0.5527,0.6038,0.0165,0.3910,0.5080
6,0.7959,0.6495,0.0020,0.4825,0.5943
7,0.8489,0.7585,0.6118,0.7397,0.7603
8,0.8496,0.7603,0.6586,0.7562,0.7717
9,0.8291,0.7440,0.5853,0.7195,0.7453
10,0.8334,0.7598,0.6036,0.7323,0.7540
11,0.8495,0.7528,0.5984,0.7336,0.7570
12,0.8338,0.7346,0.5120,0.6935,0.7263
13,0.8375,0.7656,0.6424,0.7485,0.7653
14,0.8458,0.7695,0.6653,0.7602,0.7750
15,0.8395,0.7760,0.7006,0.7720,0.7810
16,0.8341,0.7339,0.5428,0.7036,0.7283
17,0.8316,0.7772,0.7343,0.7810,0.7873
18,0.8491,0.7673,0.6957,0.7707,0.7810
19,0.8536,0.7695,0.6872,0.7701,0.7800
20,0.8465,0.7545,0.6265,0.7425,0.7587
21,0.8515,0.7520,0.6189,0.7408,0.7577
22,0.8558,0.7613,0.6529,0.7567,0.7703
23,0.8524,0.7568,0.6500,0.7531,0.7663
24,0.8468,0.7895,0.7415,0.7926,0.7983
25,0.8514,0.7845,0.7212,0.7857,0.7923
26,0.8457,0.7746,0.6937,0.7713,0.7800
27,0.8481,0.7715,0.6804,0.7667,0.7777
28,0.8469,0.7760,0.6890,0.7706,0.7803
29,0.8527,0.7732,0.6723,0.7661,0.7773
30,0.8462,0.7835,0.7195,0.7831,0.7900
31,0.8478,0.7757,0.7003,0.7746,0.7837
32,0.8499,0.7732,0.6894,0.7708,0.7797
33,0.8404,0.7789,0.6802,0.7665,0.7777
34,0.8353,0.7755,0.6799,0.7636,0.7737
35,0.8433,0.7808,0.7153,0.7798,0.7870
36,0.8511,0.7800,0.7074,0.7795,0.7873
37,0.8528,0.7938,0.7360,0.7942,0.8003
38,0.8466,0.7781,0.7130,0.7792,0.7867
39,0.8459,0.7786,0.7081,0.7775,0.7850
40,0.8458,0.7845,0.7234,0.7846,0.7917
41,0.8548,0.7900,0.7140,0.7862,0.7937
42,0.8512,0.7885,0.7206,0.7868,0.7947
43,0.8492,0.7932,0.7244,0.7889,0.7957
44,0.8512,0.7920,0.7177,0.7870,0.7950
45,0.8460,0.7629,0.6371,0.7487,0.7637
46,0.8532,0.7792,0.7149,0.7824,0.7897
47,0.8512,0.7840,0.7028,0.7793,0.7883
48,0.8577,0.7894,0.7318,0.7929,0.7993
49,0.8561,0.7920,0.7269,0.7917,0.7990
50,0.8511,0.7778,0.7083,0.7791,0.7867
51,0.8463,0.7783,0.7014,0.7753,0.7840
52,0.8542,0.7837,0.7090,0.7823,0.7910
53,0.8524,0.7869,0.7223,0.7872,0.7940
54,0.8546,0.8040,0.7500,0.8029,0.8087
55,0.8545,0.7900,0.7282,0.7909,0.7980
56,0.8515,0.7913,0.7257,0.7895,0.7967
57,0.8534,0.7825,0.6996,0.7785,0.7880
58,0.8502,0.7960,0.7412,0.7958,0.8017
59,0.8525,0.8007,0.7478,0.8003,0.8060
60,0.8540,0.8043,0.7732,0.8105,0.8143
61,0.8550,0.7942,0.7359,0.7951,0.8013
62,0.8562,0.8008,0.7567,0.8045,0.8097
63,0.8519,0.7881,0.7449,0.7949,0.8000
64,0.8527,0.8017,0.7688,0.8078,0.8113
65,0.8575,0.7971,0.7546,0.8030,0.8080
66,0.8549,0.7877,0.7206,0.7878,0.7953
67,0.8525,0.7910,0.7291,0.7909,0.7977
68,0.8471,0.7751,0.6964,0.7729,0.7823
69,0.8569,0.7814,0.7150,0.7844,0.7923
70,0.8516,0.7951,0.7354,0.7940,0.8003
71,0.8563,0.7889,0.7238,0.7897,0.7970
72,0.8593,0.7868,0.7281,0.7914,0.7980
73,0.8530,0.7883,0.7239,0.7884,0.7953
74,0.8557,0.7928,0.7370,0.7952,0.8017
75,0.8568,0.8010,0.7567,0.8048,0.8097
76,0.8551,0.7917,0.7436,0.7968,0.8023
77,0.8461,0.8002,0.7477,0.7980,0.8033
78,0.8458,0.7912,0.7408,0.7926,0.7987
79,0.8532,0.8041,0.7575,0.8050,0.8100
80,0.8501,0.7981,0.7399,0.7960,0.8020
81,0.8525,0.7921,0.7388,0.7944,0.8007
82,0.8526,0.7899,0.7274,0.7900,0.7970
83,0.8479,0.7960,0.7377,0.7939,0.8003
84,0.8507,0.8022,0.7661,0.8064,0.8103
85,0.8548,0.7848,0.7096,0.7831,0.7920
86,0.8538,0.7981,0.7545,0.8021,0.8073
87,0.8557,0.8042,0.7683,0.8094,0.8137
88,0.8502,0.8002,0.7614,0.8040,0.8087
89,0.8514,0.8038,0.7652,0.8068,0.8110
90,0.8526,0.7927,0.7467,0.7973,0.8030
91,0.8523,0.7971,0.7514,0.8003,0.8053
92,0.8636,0.8066,0.7651,0.8117,0.8163
93,0.8577,0.7923,0.7287,0.7929,0.8000
94,0.8529,0.7988,0.7634,0.8050,0.8093
95,0.8491,0.7976,0.7431,0.7966,0.8027
96,0.8539,0.7924,0.7428,0.7964,0.8027
97,0.8638,0.7988,0.7546,0.8057,0.8107
98,0.8638,0.7988,0.7546,0.8057,0.8107
99,0.8581,0.7875,0.7170,0.7876,0.7957
100,0.8581,0.7875,0.7170,0.7876,0.7957
