K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.5000,0.3182,0.0000,0.2727,0.3633
3,0.4695,0.4004,0.0000,0.2900,0.3997
4,0.4593,0.1942,0.1892,0.2809,0.3760
5,0.4658,0.2841,0.0000,0.2500,0.3760
6,0.4672,0.2545,0.0000,0.2406,0.3713
7,0.4708,0.1464,0.0887,0.2353,0.3687
8,0.5009,0.0113,0.0000,0.1707,0.3350
9,0.5134,0.1802,0.0503,0.2480,0.3763
10,0.5105,0.0956,0.0039,0.2034,0.3553
11,0.4869,0.1934,0.0039,0.2281,0.3623
12,0.5182,0.2022,0.0204,0.2469,0.3737
13,0.5071,0.1420,0.0783,0.2425,0.3653
14,0.5228,0.1884,0.0942,0.2685,0.3833
15,0.5178,0.1943,0.0668,0.2597,0.3773
16,0.5135,0.2581,0.0020,0.2579,0.3750
17,0.5266,0.2157,0.0800,0.2741,0.3880
18,0.5454,0.2918,0.0455,0.2943,0.4100
19,0.5377,0.3558,0.1025,0.3320,0.4243
20,0.5337,0.3177,0.0266,0.2927,0.4037
21,0.5297,0.2652,0.0382,0.2777,0.3940
22,0.5242,0.1975,0.0513,0.2577,0.3830
23,0.5696,0.4155,0.0394,0.3415,0.4440
24,0.5728,0.3172,0.2121,0.3674,0.4493
25,0.5752,0.4535,0.1235,0.3840,0.4663
26,0.5615,0.3367,0.0097,0.3026,0.4243
27,0.5656,0.4023,0.0954,0.3544,0.4463
28,0.5505,0.3619,0.0668,0.3264,0.4270
29,0.5867,0.4863,0.0608,0.3780,0.4737
30,0.5815,0.3924,0.0631,0.3456,0.4520
31,0.5610,0.3671,0.0948,0.3410,0.4377
32,0.5859,0.4507,0.0626,0.3664,0.4633
33,0.5955,0.4987,0.0380,0.3774,0.4767
34,0.5827,0.3656,0.1420,0.3634,0.4573
35,0.5954,0.4437,0.1484,0.3958,0.4787
36,0.6072,0.4873,0.1611,0.4185,0.5000
37,0.6038,0.4448,0.1882,0.4123,0.4900
38,0.6186,0.5182,0.0797,0.4055,0.4987
39,0.6247,0.5641,0.1005,0.4298,0.5140
40,0.5991,0.4987,0.0878,0.3952,0.4873
41,0.6195,0.4952,0.1201,0.4116,0.5010
42,0.6025,0.5073,0.0773,0.3957,0.4877
43,0.5987,0.4536,0.0355,0.3626,0.4617
44,0.5931,0.4336,0.0490,0.3586,0.4637
45,0.5817,0.4329,0.0326,0.3491,0.4530
46,0.6060,0.4574,0.0657,0.3763,0.4800
47,0.6045,0.4544,0.0769,0.3786,0.4773
48,0.6255,0.5372,0.1263,0.4297,0.5123
49,0.6106,0.5397,0.1085,0.4196,0.5020
50,0.6111,0.4997,0.0760,0.3956,0.4953
51,0.6409,0.5599,0.1114,0.4374,0.5207
52,0.6302,0.5782,0.0803,0.4296,0.5173
53,0.6611,0.5805,0.1772,0.4729,0.5460
54,0.6216,0.4845,0.2383,0.4481,0.5150
55,0.6529,0.5607,0.1174,0.4437,0.5333
56,0.6367,0.5272,0.1312,0.4317,0.5153
57,0.6350,0.5736,0.1644,0.4576,0.5323
58,0.6693,0.5962,0.1784,0.4813,0.5533
59,0.6465,0.5395,0.1521,0.4461,0.5290
60,0.6224,0.4667,0.0870,0.3920,0.4887
61,0.6594,0.6045,0.1325,0.4655,0.5463
62,0.6205,0.4949,0.1663,0.4273,0.5063
63,0.6059,0.4594,0.1551,0.4068,0.4917
64,0.6737,0.6097,0.2305,0.5046,0.5680
65,0.6523,0.5813,0.1140,0.4492,0.5327
66,0.6259,0.5011,0.1012,0.4094,0.5020
67,0.6518,0.5939,0.1711,0.4723,0.5430
68,0.6825,0.6042,0.1255,0.4707,0.5563
69,0.6880,0.5991,0.1642,0.4838,0.5600
70,0.6838,0.6296,0.2176,0.5103,0.5763
71,0.6749,0.6011,0.1846,0.4869,0.5590
72,0.6604,0.5384,0.1011,0.4333,0.5250
73,0.6367,0.5739,0.0706,0.4271,0.5187
74,0.6487,0.5842,0.1280,0.4536,0.5347
75,0.6206,0.5180,0.1223,0.4203,0.5040
76,0.6619,0.5909,0.0854,0.4460,0.5370
77,0.6338,0.5375,0.1499,0.4404,0.5167
78,0.6321,0.4898,0.1696,0.4305,0.5127
79,0.6547,0.5848,0.1086,0.4493,0.5327
80,0.6565,0.6209,0.1497,0.4757,0.5533
81,0.6508,0.5349,0.1346,0.4401,0.5270
82,0.6434,0.5827,0.1533,0.4598,0.5373
83,0.6323,0.5088,0.1305,0.4239,0.5167
84,0.6811,0.6464,0.1731,0.5002,0.5757
85,0.6351,0.5697,0.0985,0.4344,0.5217
86,0.6942,0.6276,0.1758,0.4992,0.5733
87,0.6233,0.5325,0.1155,0.4238,0.5097
88,0.6615,0.5742,0.1001,0.4453,0.5370
89,0.6714,0.5910,0.1819,0.4814,0.5557
90,0.6732,0.6094,0.1675,0.4834,0.5570
91,0.6836,0.6205,0.1941,0.4994,0.5693
92,0.6253,0.5712,0.1082,0.4349,0.5197
93,0.6538,0.5958,0.0914,0.4470,0.5353
94,0.6478,0.5604,0.1404,0.4495,0.5307
95,0.6564,0.5713,0.2442,0.4906,0.5523
96,0.6862,0.6346,0.2309,0.5172,0.5820
97,0.6997,0.6162,0.1136,0.4765,0.5640
98,0.6997,0.6162,0.1136,0.4765,0.5640
99,0.6562,0.5515,0.1280,0.4452,0.5303
100,0.6562,0.5515,0.1280,0.4452,0.5303
