K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
54,0.6591,0.5909,0.5623,0.1806,0.4770,0.4940,0.5400
55,0.6496,0.5821,0.5803,0.2752,0.5033,0.5181,0.5522
56,0.6544,0.5755,0.5775,0.2996,0.5143,0.5242,0.5562
57,0.6564,0.5841,0.5666,0.2431,0.4533,0.5007,0.5416
58,0.6561,0.5207,0.5704,0.2957,0.4716,0.5029,0.5426
59,0.6536,0.5819,0.5709,0.2246,0.4706,0.5003,0.5412
60,0.6609,0.5969,0.5748,0.2118,0.5097,0.5108,0.5506
61,0.6567,0.5934,0.5658,0.2022,0.5257,0.5087,0.5482
62,0.6487,0.5998,0.5760,0.2463,0.4958,0.5133,0.5496
63,0.6525,0.6245,0.5932,0.2491,0.5104,0.5259,0.5636
64,0.6547,0.6009,0.5846,0.2482,0.4955,0.5168,0.5554
65,0.6525,0.5842,0.5757,0.2251,0.5289,0.5133,0.5522
66,0.6534,0.5809,0.5703,0.2248,0.5468,0.5153,0.5526
67,0.6644,0.6103,0.5685,0.2180,0.5386,0.5200,0.5578
68,0.6524,0.5556,0.5605,0.1820,0.4668,0.4835,0.5326
69,0.6765,0.5808,0.5585,0.2436,0.5368,0.5192,0.5548
70,0.6634,0.5948,0.5642,0.2259,0.5558,0.5208,0.5564
71,0.6602,0.5905,0.5635,0.1903,0.5362,0.5081,0.5498
72,0.6662,0.5415,0.5553,0.2000,0.5385,0.5003,0.5434
73,0.6493,0.6302,0.5808,0.2294,0.5054,0.5190,0.5572
74,0.6490,0.5779,0.5635,0.2193,0.4922,0.5004,0.5432
75,0.6512,0.5708,0.5700,0.2316,0.5154,0.5078,0.5468
76,0.6534,0.5849,0.5705,0.2193,0.5469,0.5150,0.5528
77,0.6583,0.5544,0.5671,0.2662,0.5177,0.5127,0.5484
78,0.6523,0.6085,0.5795,0.3151,0.5063,0.5323,0.5624
79,0.6501,0.5414,0.5560,0.2599,0.4408,0.4896,0.5304
80,0.6468,0.5340,0.5496,0.2295,0.4661,0.4852,0.5260
81,0.6513,0.5680,0.5599,0.1683,0.5398,0.4975,0.5412
82,0.6665,0.5735,0.5695,0.2537,0.5530,0.5233,0.5588
83,0.6590,0.6342,0.5844,0.2444,0.5352,0.5314,0.5672
84,0.6413,0.6163,0.5833,0.2737,0.4678,0.5165,0.5546
85,0.6548,0.6311,0.5884,0.2965,0.5195,0.5381,0.5700
86,0.6584,0.6051,0.5849,0.2875,0.4956,0.5263,0.5612
87,0.6614,0.6336,0.5817,0.3079,0.5450,0.5459,0.5738
88,0.6591,0.6156,0.5740,0.2589,0.5331,0.5282,0.5630
89,0.6616,0.5762,0.5735,0.2495,0.5105,0.5142,0.5520
90,0.6629,0.5676,0.5643,0.2396,0.4925,0.5054,0.5442
91,0.6700,0.5798,0.5708,0.2560,0.5747,0.5302,0.5630
92,0.6622,0.5759,0.5587,0.2200,0.5453,0.5124,0.5506
93,0.6702,0.5424,0.5643,0.3135,0.5575,0.5296,0.5594
94,0.6636,0.5618,0.5692,0.2900,0.5056,0.5180,0.5524
95,0.6687,0.5706,0.5586,0.2539,0.5084,0.5120,0.5476
96,0.6731,0.6028,0.5826,0.2849,0.5538,0.5394,0.5714
97,0.6613,0.6008,0.5750,0.2928,0.5515,0.5363,0.5658
98,0.6526,0.5858,0.5665,0.2860,0.5309,0.5244,0.5556
99,0.6628,0.5651,0.5586,0.1966,0.5272,0.5021,0.5428
100,0.6592,0.5719,0.5700,0.2540,0.5262,0.5163,0.5532
