K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.4826,0.3478,0.5550,0.1235,0.2903,0.3598,0.3940
5,0.6925,0.5768,0.6832,0.0000,0.6747,0.5254,0.5878
6,0.6734,0.5737,0.6798,0.1378,0.6413,0.5412,0.5830
7,0.6731,0.5732,0.6540,0.1326,0.6546,0.5375,0.5776
8,0.6021,0.4924,0.6198,0.1582,0.0402,0.3825,0.4670
9,0.6014,0.5611,0.5952,0.1779,0.0358,0.3943,0.4752
10,0.6708,0.5758,0.6435,0.1716,0.5744,0.5272,0.5668
11,0.6449,0.5411,0.6086,0.1748,0.5372,0.5013,0.5424
12,0.6762,0.5616,0.5845,0.1227,0.5751,0.5040,0.5478
13,0.6549,0.5558,0.6097,0.1211,0.5063,0.4895,0.5420
14,0.6587,0.6193,0.6403,0.1658,0.5425,0.5253,0.5732
15,0.6657,0.5752,0.6040,0.2361,0.4769,0.5116,0.5570
16,0.6701,0.6122,0.6188,0.2235,0.6080,0.5465,0.5774
17,0.6654,0.5686,0.5906,0.2109,0.5076,0.5086,0.5444
18,0.6635,0.5972,0.6342,0.2363,0.4121,0.5087,0.5592
19,0.6379,0.5596,0.5858,0.1477,0.3969,0.4656,0.5230
20,0.6549,0.5659,0.5977,0.2110,0.5330,0.5125,0.5524
21,0.6540,0.5612,0.5740,0.2042,0.5496,0.5086,0.5420
22,0.6422,0.4961,0.5647,0.2094,0.5001,0.4825,0.5286
23,0.6805,0.5924,0.5736,0.1864,0.5015,0.5069,0.5526
24,0.6581,0.5853,0.5825,0.2194,0.4265,0.4944,0.5394
25,0.6681,0.5874,0.5927,0.1775,0.5506,0.5152,0.5594
26,0.6800,0.5534,0.5894,0.2653,0.5458,0.5268,0.5592
27,0.6573,0.6204,0.5836,0.1536,0.5018,0.5034,0.5488
28,0.6685,0.5479,0.5819,0.2502,0.4732,0.5043,0.5472
29,0.6429,0.5338,0.5526,0.1820,0.4076,0.4638,0.5164
30,0.6579,0.6025,0.5765,0.2113,0.4919,0.5080,0.5506
31,0.6611,0.5977,0.5772,0.1753,0.5427,0.5108,0.5540
32,0.6612,0.6169,0.5901,0.1895,0.5269,0.5169,0.5584
33,0.6658,0.6278,0.5678,0.2086,0.5145,0.5169,0.5546
34,0.6660,0.6063,0.5839,0.2541,0.5009,0.5222,0.5594
35,0.6574,0.5946,0.5809,0.2700,0.4824,0.5171,0.5526
36,0.6566,0.6295,0.5926,0.2516,0.5038,0.5268,0.5630
37,0.6588,0.6086,0.5834,0.2255,0.5175,0.5188,0.5572
38,0.6538,0.5943,0.5662,0.1630,0.4461,0.4847,0.5330
39,0.6639,0.5118,0.5555,0.1771,0.5086,0.4834,0.5296
40,0.6700,0.6054,0.5766,0.2548,0.5405,0.5295,0.5626
41,0.6650,0.5820,0.5672,0.2104,0.5441,0.5137,0.5518
42,0.6510,0.5916,0.5764,0.1477,0.5228,0.4979,0.5454
43,0.6596,0.6008,0.5811,0.1951,0.5424,0.5158,0.5572
44,0.6494,0.6214,0.5737,0.2078,0.4939,0.5092,0.5500
45,0.6544,0.6122,0.5747,0.1932,0.5058,0.5081,0.5530
46,0.6544,0.5887,0.5840,0.2870,0.4956,0.5219,0.5572
47,0.6605,0.6254,0.5898,0.3133,0.5188,0.5416,0.5736
48,0.6450,0.5792,0.5687,0.2297,0.4182,0.4882,0.5338
49,0.6501,0.5503,0.5542,0.1569,0.4718,0.4766,0.5248
50,0.6558,0.5627,0.5556,0.1653,0.4872,0.4853,0.5292
51,0.6557,0.5577,0.5569,0.1552,0.5074,0.4866,0.5316
52,0.6702,0.5984,0.5857,0.2414,0.5347,0.5261,0.5622
53,0.6601,0.5719,0.5626,0.1416,0.4859,0.4844,0.5342
