K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
39,0.6458,0.7378,0.6861,0.7218,0.5359,0.6655,0.6688
40,0.6536,0.7338,0.6978,0.7405,0.5295,0.6710,0.6762
41,0.6526,0.7432,0.6862,0.7324,0.5515,0.6732,0.6760
42,0.6470,0.7450,0.6968,0.7207,0.5164,0.6652,0.6714
43,0.6437,0.7407,0.6984,0.7068,0.5148,0.6609,0.6674
44,0.6297,0.7526,0.6880,0.7026,0.4764,0.6499,0.6562
45,0.6403,0.7366,0.6818,0.6794,0.4654,0.6407,0.6520
46,0.6417,0.7476,0.7024,0.7103,0.4939,0.6592,0.6662
47,0.6526,0.7359,0.6830,0.7343,0.5254,0.6662,0.6708
48,0.6266,0.7431,0.6877,0.7006,0.4617,0.6439,0.6524
49,0.6417,0.7294,0.6713,0.6636,0.5088,0.6429,0.6488
50,0.6443,0.7384,0.6831,0.6997,0.5085,0.6548,0.6608
51,0.6481,0.7368,0.6887,0.7221,0.5230,0.6637,0.6692
52,0.6446,0.7435,0.7041,0.7552,0.5260,0.6747,0.6790
53,0.6418,0.7414,0.6904,0.7024,0.4705,0.6493,0.6576
54,0.6470,0.7452,0.6852,0.6802,0.4936,0.6502,0.6586
55,0.6491,0.7581,0.7043,0.7414,0.5044,0.6715,0.6768
56,0.6502,0.7556,0.6967,0.7391,0.5630,0.6809,0.6826
57,0.6483,0.7287,0.6793,0.6973,0.4769,0.6461,0.6556
58,0.6492,0.7479,0.6926,0.7228,0.5234,0.6672,0.6728
59,0.6486,0.7307,0.7058,0.7222,0.5089,0.6633,0.6692
60,0.6524,0.7355,0.6965,0.7304,0.5000,0.6630,0.6698
61,0.6424,0.7455,0.7019,0.7210,0.5091,0.6640,0.6686
62,0.6397,0.7398,0.6937,0.7271,0.4849,0.6570,0.6644
63,0.6497,0.7441,0.6931,0.7033,0.5056,0.6591,0.6664
64,0.6386,0.7404,0.6980,0.7230,0.4979,0.6596,0.6660
65,0.6401,0.7416,0.6972,0.7202,0.5222,0.6642,0.6682
66,0.6430,0.7525,0.6949,0.7348,0.5245,0.6699,0.6734
67,0.6517,0.7543,0.6943,0.7232,0.5347,0.6716,0.6758
68,0.6235,0.7366,0.6832,0.6883,0.3973,0.6258,0.6418
69,0.6674,0.7447,0.6917,0.7263,0.5646,0.6789,0.6822
70,0.6476,0.7482,0.6972,0.7565,0.4883,0.6675,0.6746
71,0.6395,0.7590,0.7108,0.7675,0.4924,0.6738,0.6794
72,0.6451,0.7420,0.6907,0.6888,0.5023,0.6538,0.6622
73,0.6397,0.7443,0.6920,0.7096,0.4816,0.6534,0.6612
74,0.6338,0.7514,0.6994,0.7388,0.4555,0.6558,0.6642
75,0.6456,0.7478,0.7117,0.7433,0.4928,0.6683,0.6750
76,0.6549,0.7448,0.6949,0.7291,0.5287,0.6705,0.6764
77,0.6408,0.7658,0.7174,0.7518,0.4634,0.6678,0.6750
78,0.6419,0.7436,0.6803,0.7460,0.4842,0.6592,0.6660
79,0.6355,0.7501,0.6875,0.7218,0.4300,0.6450,0.6566
80,0.6361,0.7529,0.6925,0.7232,0.4576,0.6525,0.6610
81,0.6450,0.7522,0.6946,0.7262,0.5101,0.6656,0.6700
82,0.6562,0.7606,0.7051,0.7129,0.5578,0.6785,0.6814
83,0.6481,0.7538,0.7026,0.7246,0.5373,0.6733,0.6766
84,0.6392,0.7468,0.7055,0.7265,0.4848,0.6606,0.6676
85,0.6461,0.7585,0.6996,0.7564,0.5039,0.6729,0.6778
86,0.6368,0.7551,0.7072,0.7485,0.4418,0.6579,0.6674
87,0.6517,0.7359,0.7007,0.7452,0.5180,0.6703,0.6756
88,0.6490,0.7461,0.7092,0.7635,0.5164,0.6768,0.6814
89,0.6437,0.7476,0.6984,0.7463,0.4894,0.6651,0.6716
90,0.6508,0.7596,0.7089,0.7524,0.4946,0.6733,0.6798
91,0.6608,0.7587,0.7120,0.7607,0.5426,0.6870,0.6904
92,0.6527,0.7686,0.7066,0.7571,0.5368,0.6844,0.6872
93,0.6615,0.7552,0.7129,0.7356,0.5411,0.6813,0.6854
94,0.6513,0.7608,0.7204,0.7489,0.5112,0.6785,0.6836
95,0.6573,0.7579,0.7062,0.7531,0.4999,0.6749,0.6818
96,0.6560,0.7589,0.7074,0.7366,0.5377,0.6793,0.6834
97,0.6505,0.7560,0.7065,0.7431,0.5306,0.6774,0.6816
98,0.6528,0.7638,0.6994,0.7479,0.5494,0.6827,0.6854
99,0.6514,0.7573,0.6918,0.7195,0.5088,0.6658,0.6714
100,0.6591,0.7553,0.7046,0.7336,0.5745,0.6854,0.6878
