K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.5342,0.4766,0.4571,0.5514,0.1770,0.4393,0.4700
5,0.6574,0.6142,0.6078,0.0914,0.5290,0.5000,0.5562
6,0.6509,0.6803,0.6571,0.6738,0.4965,0.6317,0.6458
7,0.6780,0.6747,0.5481,0.6562,0.5157,0.6145,0.6352
8,0.5824,0.6589,0.5701,0.6071,0.0058,0.4849,0.5462
9,0.5985,0.6850,0.5393,0.6281,0.0000,0.4902,0.5588
10,0.6592,0.7001,0.6261,0.6837,0.5211,0.6380,0.6486
11,0.6508,0.7273,0.7115,0.7317,0.5361,0.6715,0.6760
12,0.6589,0.7036,0.6504,0.6383,0.5243,0.6351,0.6484
13,0.6324,0.7152,0.6697,0.7212,0.4471,0.6371,0.6450
14,0.6381,0.7261,0.7047,0.6853,0.4893,0.6487,0.6598
15,0.6450,0.7138,0.6685,0.6659,0.4896,0.6366,0.6470
16,0.6559,0.7469,0.7096,0.7409,0.5578,0.6822,0.6840
17,0.6345,0.7091,0.6305,0.7173,0.4687,0.6320,0.6442
18,0.6400,0.6932,0.6035,0.6921,0.4421,0.6142,0.6308
19,0.6288,0.7173,0.6693,0.6895,0.4079,0.6226,0.6382
20,0.6391,0.7153,0.6712,0.6941,0.5054,0.6450,0.6526
21,0.6632,0.7288,0.6935,0.7408,0.5694,0.6792,0.6810
22,0.6388,0.6793,0.6437,0.6228,0.4787,0.6127,0.6250
23,0.6539,0.7496,0.6796,0.6848,0.4754,0.6487,0.6608
24,0.6367,0.7418,0.6791,0.7079,0.4628,0.6457,0.6564
25,0.6533,0.7258,0.6718,0.7199,0.5561,0.6654,0.6678
26,0.6671,0.7379,0.6837,0.7124,0.5676,0.6737,0.6776
27,0.6443,0.7435,0.6824,0.7416,0.5162,0.6656,0.6682
28,0.6576,0.7317,0.6878,0.6935,0.5275,0.6596,0.6646
29,0.6402,0.7362,0.6914,0.7057,0.4814,0.6510,0.6596
30,0.6367,0.7249,0.6754,0.7226,0.4670,0.6453,0.6536
31,0.6436,0.7415,0.7027,0.7336,0.5325,0.6708,0.6742
32,0.6403,0.7293,0.6932,0.7158,0.5143,0.6586,0.6632
33,0.6527,0.7348,0.6807,0.6943,0.5451,0.6615,0.6658
34,0.6423,0.7435,0.6956,0.7246,0.4888,0.6590,0.6672
35,0.6420,0.7353,0.6948,0.7331,0.5098,0.6630,0.6678
36,0.6436,0.7267,0.7029,0.7239,0.4944,0.6583,0.6644
37,0.6466,0.7458,0.6825,0.7437,0.5054,0.6648,0.6720
38,0.6520,0.7359,0.6912,0.6668,0.5153,0.6522,0.6612
