K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.3681,0.3140,0.3146,0.1912,0.1467,0.2669,0.2920
5,0.3904,0.3257,0.2453,0.0000,0.1075,0.2138,0.3018
6,0.3826,0.2140,0.1802,0.0615,0.0647,0.1806,0.2756
7,0.3966,0.3033,0.1450,0.0856,0.0585,0.1978,0.2884
8,0.4234,0.3663,0.2194,0.2092,0.0000,0.2437,0.3288
9,0.4483,0.3443,0.2163,0.1508,0.0000,0.2319,0.3190
10,0.3673,0.3093,0.2055,0.1290,0.0711,0.2164,0.3018
11,0.3974,0.4629,0.2883,0.1945,0.0644,0.2815,0.3516
12,0.4658,0.4646,0.2231,0.1298,0.0615,0.2690,0.3556
13,0.4139,0.4303,0.1833,0.0813,0.0412,0.2300,0.3174
14,0.4338,0.4148,0.1936,0.0790,0.0404,0.2323,0.3262
15,0.4060,0.4200,0.2019,0.1327,0.0353,0.2392,0.3178
16,0.4753,0.4855,0.1520,0.0851,0.1108,0.2617,0.3564
17,0.4556,0.4776,0.1750,0.1678,0.0248,0.2602,0.3512
18,0.4638,0.5025,0.2429,0.1377,0.0376,0.2769,0.3636
19,0.4022,0.3759,0.1693,0.0443,0.0174,0.2018,0.3010
20,0.4147,0.3837,0.1473,0.1243,0.0356,0.2211,0.3146
21,0.4687,0.4415,0.2209,0.1827,0.0845,0.2796,0.3616
22,0.4367,0.3653,0.1993,0.1218,0.0663,0.2379,0.3316
23,0.4520,0.4827,0.2974,0.1757,0.0470,0.2910,0.3668
24,0.4642,0.5145,0.3119,0.1768,0.0536,0.3042,0.3790
25,0.4544,0.5016,0.3199,0.1177,0.0704,0.2928,0.3714
26,0.4876,0.4947,0.2989,0.2165,0.0764,0.3148,0.3862
27,0.4684,0.4686,0.2137,0.1700,0.0705,0.2782,0.3626
28,0.5093,0.5177,0.3192,0.1970,0.0681,0.3223,0.4006
29,0.4583,0.4886,0.2434,0.2037,0.0474,0.2883,0.3686
30,0.4473,0.4554,0.2326,0.1485,0.0510,0.2670,0.3532
31,0.4532,0.4834,0.2505,0.1538,0.0569,0.2796,0.3626
32,0.5019,0.4963,0.2936,0.1408,0.0537,0.2973,0.3838
33,0.5022,0.5148,0.3566,0.1504,0.0502,0.3148,0.3996
34,0.5014,0.5448,0.3939,0.2393,0.0611,0.3481,0.4212
35,0.4971,0.5397,0.3947,0.2792,0.0530,0.3527,0.4180
36,0.4945,0.5655,0.3216,0.2235,0.0432,0.3297,0.4102
37,0.4918,0.5079,0.3595,0.2326,0.0233,0.3230,0.4006
38,0.5097,0.5366,0.3663,0.2317,0.0216,0.3332,0.4138
39,0.4820,0.5123,0.4090,0.1869,0.0552,0.3291,0.4026
40,0.4774,0.5060,0.3849,0.1943,0.0252,0.3175,0.3936
41,0.4781,0.5261,0.3736,0.1719,0.0487,0.3197,0.3968
42,0.4889,0.5310,0.4050,0.2394,0.0423,0.3413,0.4110
43,0.5020,0.5531,0.4636,0.1896,0.1013,0.3619,0.4284
44,0.4849,0.5600,0.4103,0.1742,0.0513,0.3361,0.4120
45,0.5137,0.5553,0.4163,0.2106,0.0597,0.3511,0.4284
46,0.5062,0.5509,0.4394,0.2886,0.0621,0.3694,0.4326
47,0.5028,0.5372,0.4109,0.2235,0.0546,0.3458,0.4196
48,0.4866,0.4915,0.3875,0.2266,0.0286,0.3241,0.3958
49,0.4796,0.5400,0.4589,0.1793,0.0269,0.3370,0.4124
50,0.5216,0.5268,0.4416,0.2217,0.0442,0.3512,0.4242
51,0.5101,0.5348,0.4738,0.2404,0.0418,0.3602,0.4294
52,0.5037,0.5444,0.3976,0.2769,0.0476,0.3540,0.4236
53,0.5254,0.5679,0.4997,0.2284,0.0650,0.3773,0.4502
54,0.4906,0.5353,0.3972,0.1772,0.0212,0.3243,0.4058
55,0.4893,0.5083,0.3666,0.2463,0.0545,0.3330,0.4040
56,0.5027,0.5255,0.3979,0.3214,0.0401,0.3575,0.4222
57,0.5150,0.5318,0.3916,0.2407,0.0467,0.3452,0.4208
58,0.5294,0.5623,0.4574,0.2514,0.0469,0.3695,0.4436
59,0.4996,0.5464,0.4359,0.2728,0.0270,0.3563,0.4248
60,0.4969,0.4904,0.3630,0.2731,0.0290,0.3305,0.4080
61,0.5137,0.5216,0.3976,0.2518,0.0704,0.3510,0.4206
62,0.5036,0.5505,0.4119,0.2381,0.0345,0.3477,0.4228
63,0.5188,0.5463,0.4433,0.2401,0.0447,0.3587,0.4348
64,0.4843,0.5379,0.4506,0.2432,0.0422,0.3516,0.4174
65,0.5029,0.5448,0.4664,0.2539,0.0427,0.3621,0.4298
66,0.5068,0.5454,0.4684,0.2434,0.0781,0.3684,0.4348
67,0.5001,0.5894,0.4953,0.2570,0.0657,0.3815,0.4460
68,0.5196,0.5476,0.4864,0.2279,0.0403,0.3644,0.4364
69,0.4930,0.5619,0.4281,0.2024,0.0456,0.3462,0.4194
70,0.5291,0.5740,0.4954,0.3164,0.0344,0.3899,0.4590
71,0.5290,0.5625,0.4225,0.2622,0.0665,0.3685,0.4432
72,0.5481,0.5670,0.4608,0.3245,0.0838,0.3969,0.4624
73,0.5390,0.5635,0.4876,0.2747,0.0564,0.3843,0.4554
74,0.5197,0.5608,0.4990,0.2947,0.0435,0.3835,0.4498
75,0.5270,0.5403,0.4782,0.3115,0.0440,0.3802,0.4468
76,0.5159,0.5685,0.5152,0.2906,0.0492,0.3879,0.4526
77,0.5340,0.5616,0.5311,0.3577,0.0528,0.4074,0.4660
78,0.5314,0.5748,0.5051,0.2657,0.0462,0.3846,0.4562
79,0.5356,0.5520,0.5267,0.3445,0.0403,0.3998,0.4612
80,0.5136,0.5558,0.5360,0.3123,0.0379,0.3911,0.4514
81,0.5282,0.5698,0.5631,0.2816,0.0655,0.4016,0.4640
82,0.5287,0.6014,0.5354,0.3053,0.0345,0.4011,0.4664
83,0.5328,0.5600,0.4991,0.2534,0.0366,0.3764,0.4492
84,0.5304,0.5924,0.4998,0.3566,0.0588,0.4076,0.4686
85,0.5519,0.5944,0.5271,0.3139,0.0605,0.4096,0.4762
