K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
86,0.5528,0.5780,0.5208,0.3018,0.0307,0.3968,0.4668
87,0.5403,0.5792,0.5381,0.3725,0.0440,0.4149,0.4754
88,0.5606,0.5678,0.5303,0.2879,0.0700,0.4033,0.4738
89,0.5361,0.5506,0.5195,0.2957,0.0136,0.3831,0.4526
90,0.5432,0.5795,0.5175,0.3254,0.0195,0.3970,0.4672
91,0.5295,0.5559,0.4851,0.2777,0.0611,0.3819,0.4512
92,0.5462,0.5616,0.5522,0.3536,0.0367,0.4100,0.4746
93,0.5408,0.5658,0.5638,0.3921,0.0483,0.4222,0.4796
94,0.5581,0.5773,0.5656,0.4036,0.0366,0.4283,0.4888
95,0.5322,0.5472,0.4741,0.3202,0.0118,0.3771,0.4458
96,0.5471,0.5552,0.5146,0.3287,0.0456,0.3982,0.4650
97,0.5417,0.5745,0.5106,0.3292,0.0511,0.4014,0.4668
98,0.5180,0.5636,0.5081,0.3223,0.0491,0.3922,0.4546
99,0.5391,0.5950,0.5229,0.3708,0.0195,0.4095,0.4742
100,0.5159,0.5972,0.5330,0.3238,0.0339,0.4008,0.4634
