K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.6643,0.6415,0.6065,0.6374,0.6433
3,0.7800,0.6725,0.1453,0.5326,0.6133
4,0.7759,0.6815,0.7170,0.7248,0.7517
5,0.6801,0.6302,0.0353,0.4486,0.5513
6,0.8107,0.6387,0.0020,0.4838,0.5967
7,0.8579,0.7878,0.7296,0.7918,0.8013
8,0.8460,0.7446,0.7348,0.7751,0.7853
9,0.8382,0.7576,0.6877,0.7612,0.7757
10,0.8313,0.7701,0.7242,0.7752,0.7847
11,0.8373,0.7588,0.7172,0.7711,0.7797
12,0.8327,0.7665,0.7014,0.7668,0.7767
13,0.8395,0.7784,0.7478,0.7886,0.7947
14,0.8397,0.7778,0.7675,0.7950,0.7993
15,0.8410,0.7875,0.7984,0.8090,0.8113
16,0.8392,0.7692,0.6741,0.7608,0.7733
17,0.8416,0.7776,0.7812,0.8001,0.8033
18,0.8422,0.7826,0.7959,0.8069,0.8093
19,0.8474,0.7801,0.7697,0.7990,0.8027
20,0.8377,0.7907,0.7705,0.7996,0.8027
21,0.8541,0.7943,0.7597,0.8027,0.8073
22,0.8440,0.7785,0.7518,0.7914,0.7963
23,0.8458,0.7812,0.7745,0.8005,0.8037
24,0.8465,0.7850,0.8028,0.8114,0.8140
25,0.8488,0.7991,0.7993,0.8157,0.8173
26,0.8427,0.8017,0.7872,0.8105,0.8130
27,0.8515,0.7880,0.7786,0.8060,0.8093
28,0.8398,0.7781,0.7673,0.7950,0.7983
29,0.8479,0.7809,0.7244,0.7844,0.7913
30,0.8406,0.7887,0.7712,0.8002,0.8033
31,0.8498,0.7807,0.7557,0.7954,0.7997
32,0.8443,0.7918,0.7585,0.7982,0.8023
33,0.8362,0.7918,0.7801,0.8027,0.8057
34,0.8341,0.7743,0.7679,0.7921,0.7957
35,0.8415,0.7774,0.7556,0.7915,0.7953
36,0.8446,0.7899,0.7502,0.7949,0.7993
37,0.8447,0.7800,0.7488,0.7912,0.7960
38,0.8435,0.7965,0.7596,0.7999,0.8040
39,0.8459,0.7937,0.7703,0.8033,0.8070
40,0.8452,0.7813,0.7508,0.7924,0.7973
41,0.8488,0.7858,0.7431,0.7926,0.7973
42,0.8429,0.7877,0.7518,0.7941,0.7987
43,0.8419,0.7863,0.7571,0.7951,0.7990
44,0.8404,0.7926,0.7591,0.7974,0.8013
45,0.8368,0.7742,0.7119,0.7743,0.7817
46,0.8565,0.7809,0.7389,0.7921,0.7973
47,0.8394,0.7859,0.7445,0.7899,0.7947
48,0.8535,0.7831,0.7703,0.8023,0.8057
49,0.8458,0.7778,0.7440,0.7892,0.7940
50,0.8395,0.7734,0.7310,0.7813,0.7867
51,0.8428,0.7685,0.7302,0.7805,0.7867
52,0.8491,0.7907,0.7585,0.7994,0.8043
53,0.8514,0.7838,0.7371,0.7908,0.7963
54,0.8487,0.7909,0.7711,0.8036,0.8073
55,0.8451,0.7861,0.7552,0.7955,0.8003
56,0.8404,0.7851,0.7268,0.7841,0.7900
57,0.8467,0.7911,0.7397,0.7925,0.7987
58,0.8478,0.7974,0.7719,0.8057,0.8090
59,0.8441,0.7928,0.7531,0.7967,0.8013
60,0.8432,0.7732,0.7471,0.7878,0.7923
61,0.8444,0.7928,0.7599,0.7990,0.8030
62,0.8473,0.7845,0.7607,0.7975,0.8017
63,0.8459,0.7902,0.7642,0.8001,0.8037
64,0.8442,0.7957,0.7821,0.8073,0.8100
65,0.8503,0.7917,0.7635,0.8018,0.8063
66,0.8513,0.7941,0.7430,0.7961,0.8023
67,0.8450,0.7818,0.7528,0.7932,0.7977
68,0.8406,0.7895,0.7558,0.7953,0.8000
69,0.8472,0.7860,0.7545,0.7959,0.8010
70,0.8449,0.7945,0.7445,0.7946,0.8000
71,0.8477,0.7710,0.7185,0.7791,0.7857
72,0.8466,0.7768,0.7387,0.7873,0.7927
73,0.8437,0.7768,0.7287,0.7831,0.7897
74,0.8430,0.7775,0.7492,0.7899,0.7950
75,0.8456,0.7765,0.7479,0.7900,0.7947
76,0.8436,0.7851,0.7494,0.7927,0.7973
77,0.8380,0.7785,0.7426,0.7864,0.7910
78,0.8427,0.7861,0.7492,0.7927,0.7983
79,0.8456,0.7816,0.7348,0.7873,0.7930
80,0.8456,0.7891,0.7478,0.7942,0.7990
81,0.8448,0.7844,0.7467,0.7920,0.7970
82,0.8409,0.7894,0.7442,0.7915,0.7967
83,0.8464,0.7817,0.7579,0.7953,0.7997
84,0.8475,0.7844,0.7530,0.7950,0.7997
85,0.8448,0.7736,0.7174,0.7786,0.7867
86,0.8434,0.7830,0.7337,0.7867,0.7933
87,0.8455,0.7857,0.7685,0.7999,0.8037
88,0.8409,0.7790,0.7436,0.7878,0.7930
89,0.8426,0.7892,0.7395,0.7905,0.7957
90,0.8486,0.7882,0.7531,0.7966,0.8013
91,0.8321,0.7754,0.7293,0.7789,0.7850
92,0.8525,0.7873,0.7546,0.7982,0.8030
93,0.8452,0.7842,0.7341,0.7878,0.7940
94,0.8416,0.7756,0.7525,0.7899,0.7940
95,0.8366,0.7830,0.7357,0.7851,0.7913
96,0.8380,0.7796,0.7305,0.7827,0.7890
97,0.8532,0.7766,0.7396,0.7898,0.7953
98,0.8532,0.7766,0.7396,0.7898,0.7953
99,0.8533,0.7864,0.7571,0.7989,0.8033
100,0.8533,0.7864,0.7571,0.7989,0.8033
