K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.5000,0.4103,0.5729,0.5829,0.2735,0.4679,0.4900
5,0.6928,0.5780,0.6832,0.0192,0.6760,0.5298,0.5898
6,0.6955,0.6400,0.6969,0.5873,0.7170,0.6673,0.6756
7,0.7185,0.6340,0.6308,0.6276,0.7030,0.6628,0.6686
8,0.6213,0.6140,0.6724,0.6157,0.1457,0.5338,0.5770
9,0.6303,0.6051,0.6233,0.5497,0.0718,0.4961,0.5566
10,0.6930,0.6615,0.6631,0.6405,0.6484,0.6613,0.6680
11,0.6849,0.6620,0.7238,0.6712,0.6379,0.6759,0.6812
12,0.6949,0.6604,0.6830,0.6376,0.6338,0.6620,0.6678
13,0.6653,0.6599,0.7060,0.6503,0.5417,0.6446,0.6536
14,0.6676,0.6852,0.7294,0.6537,0.5959,0.6664,0.6728
15,0.6627,0.6924,0.6952,0.6337,0.5330,0.6434,0.6560
16,0.6819,0.7137,0.7216,0.7018,0.6124,0.6863,0.6904
17,0.6608,0.6792,0.6905,0.6739,0.5426,0.6494,0.6584
18,0.6646,0.6637,0.6936,0.6651,0.5101,0.6394,0.6508
19,0.6455,0.6816,0.7027,0.6837,0.4522,0.6331,0.6468
20,0.6511,0.6747,0.6908,0.6705,0.5544,0.6483,0.6556
21,0.6709,0.6733,0.6936,0.6848,0.5982,0.6642,0.6692
22,0.6532,0.6340,0.6541,0.6138,0.5196,0.6149,0.6286
23,0.6769,0.6967,0.6978,0.6605,0.5641,0.6592,0.6684
24,0.6548,0.6872,0.6902,0.6684,0.5104,0.6422,0.6518
25,0.6688,0.6960,0.7009,0.7056,0.5914,0.6725,0.6762
26,0.6756,0.7061,0.7008,0.6935,0.5971,0.6746,0.6796
27,0.6556,0.7053,0.7081,0.7059,0.5324,0.6615,0.6680
28,0.6664,0.6866,0.6860,0.6795,0.5175,0.6472,0.6574
29,0.6469,0.6677,0.6767,0.6927,0.4758,0.6320,0.6442
30,0.6533,0.6959,0.6965,0.7023,0.5166,0.6529,0.6604
31,0.6600,0.7037,0.7027,0.7079,0.5621,0.6673,0.6720
32,0.6595,0.7034,0.7162,0.6938,0.5456,0.6637,0.6710
33,0.6614,0.7156,0.6999,0.6804,0.5421,0.6599,0.6674
34,0.6536,0.7189,0.7112,0.7094,0.5090,0.6604,0.6694
35,0.6546,0.7002,0.7111,0.7205,0.5182,0.6609,0.6688
36,0.6554,0.7113,0.7096,0.7025,0.5343,0.6626,0.6702
37,0.6592,0.7169,0.7031,0.7224,0.5247,0.6653,0.6730
38,0.6567,0.6836,0.6978,0.6624,0.4850,0.6371,0.6512
39,0.6478,0.6675,0.6880,0.7159,0.4804,0.6399,0.6506
40,0.6657,0.7019,0.7095,0.7311,0.5548,0.6726,0.6784
41,0.6582,0.6974,0.6987,0.7071,0.5525,0.6628,0.6684
42,0.6553,0.7087,0.7079,0.7160,0.5435,0.6663,0.6726
43,0.6507,0.6984,0.7066,0.7088,0.5257,0.6581,0.6652
44,0.6475,0.7270,0.6991,0.6908,0.4880,0.6505,0.6604
45,0.6587,0.7186,0.6984,0.6621,0.5245,0.6525,0.6630
46,0.6607,0.7144,0.7060,0.7217,0.5179,0.6642,0.6724
47,0.6606,0.6964,0.6966,0.7252,0.5304,0.6618,0.6694
48,0.6397,0.6871,0.6747,0.6899,0.4545,0.6292,0.6410
49,0.6377,0.6740,0.6823,0.6880,0.4502,0.6264,0.6386
50,0.6519,0.6831,0.6844,0.6954,0.5120,0.6454,0.6538
51,0.6533,0.6876,0.7055,0.7069,0.5255,0.6558,0.6636
52,0.6571,0.7068,0.7170,0.7522,0.5501,0.6766,0.6818
53,0.6497,0.6849,0.6920,0.7179,0.4764,0.6442,0.6548
54,0.6568,0.6819,0.6855,0.6812,0.4971,0.6405,0.6512
55,0.6510,0.7042,0.7076,0.7402,0.4941,0.6594,0.6680
56,0.6585,0.7071,0.7015,0.7346,0.5345,0.6672,0.6734
57,0.6560,0.7065,0.6914,0.7095,0.4879,0.6503,0.6608
58,0.6581,0.7044,0.7025,0.7296,0.5217,0.6633,0.6708
59,0.6601,0.6922,0.7101,0.7324,0.5186,0.6627,0.6710
60,0.6621,0.7009,0.7058,0.7414,0.5239,0.6668,0.6744
61,0.6536,0.7035,0.6895,0.7258,0.5342,0.6613,0.6666
62,0.6501,0.6985,0.7077,0.7253,0.5243,0.6612,0.6686
63,0.6608,0.7061,0.7001,0.7104,0.5264,0.6608,0.6688
64,0.6494,0.7059,0.7120,0.7292,0.4992,0.6591,0.6676
65,0.6524,0.6934,0.7090,0.7296,0.5506,0.6670,0.6724
66,0.6547,0.6987,0.6996,0.7395,0.5547,0.6694,0.6748
67,0.6614,0.7205,0.7063,0.7398,0.5381,0.6732,0.6794
68,0.6399,0.7062,0.7010,0.7000,0.4570,0.6408,0.6528
69,0.6638,0.7103,0.6924,0.7292,0.5371,0.6666,0.6728
70,0.6631,0.7110,0.7035,0.7437,0.5394,0.6721,0.6782
71,0.6551,0.7118,0.7079,0.7467,0.5402,0.6723,0.6774
72,0.6543,0.6608,0.6790,0.7046,0.5228,0.6443,0.6530
73,0.6455,0.7015,0.7010,0.7054,0.4781,0.6463,0.6562
74,0.6435,0.6967,0.7040,0.7486,0.4610,0.6508,0.6614
75,0.6575,0.6834,0.7120,0.7313,0.4808,0.6530,0.6640
76,0.6573,0.6916,0.7036,0.7258,0.5284,0.6613,0.6688
77,0.6543,0.6821,0.7090,0.7296,0.4984,0.6547,0.6648
78,0.6514,0.7092,0.7035,0.7403,0.4995,0.6608,0.6694
79,0.6435,0.6706,0.6835,0.7143,0.4377,0.6299,0.6442
80,0.6439,0.6639,0.6779,0.7257,0.4751,0.6373,0.6476
81,0.6616,0.6819,0.6885,0.7281,0.5279,0.6576,0.6652
82,0.6629,0.6954,0.7008,0.7039,0.5382,0.6602,0.6674
83,0.6563,0.7127,0.7125,0.7335,0.5256,0.6681,0.6746
84,0.6497,0.6960,0.7039,0.7314,0.4901,0.6542,0.6640
85,0.6579,0.7177,0.7084,0.7529,0.5152,0.6704,0.6780
86,0.6542,0.7072,0.7103,0.7341,0.4983,0.6608,0.6696
87,0.6628,0.7085,0.7152,0.7478,0.5395,0.6748,0.6808
88,0.6542,0.7124,0.7098,0.7569,0.5146,0.6695,0.6766
89,0.6597,0.6802,0.7029,0.7414,0.5073,0.6583,0.6674
90,0.6657,0.6939,0.7095,0.7404,0.5298,0.6679,0.6756
91,0.6663,0.7013,0.7089,0.7486,0.5485,0.6747,0.6808
92,0.6674,0.7144,0.7140,0.7467,0.5528,0.6791,0.6848
93,0.6685,0.6636,0.6978,0.7217,0.5613,0.6626,0.6696
94,0.6638,0.6906,0.7126,0.7478,0.5236,0.6677,0.6760
95,0.6706,0.6828,0.7044,0.7357,0.5093,0.6606,0.6706
96,0.6652,0.6930,0.6981,0.7260,0.5347,0.6634,0.6708
97,0.6579,0.7102,0.7005,0.7392,0.5415,0.6699,0.6752
98,0.6583,0.7013,0.6948,0.7422,0.5280,0.6649,0.6710
99,0.6641,0.6822,0.7034,0.7367,0.5416,0.6656,0.6728
100,0.6643,0.6753,0.7001,0.7345,0.5666,0.6682,0.6744
