K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.6178,0.6067,0.1296,0.4514,0.5267
3,0.7728,0.6566,0.0000,0.4765,0.5847
4,0.7246,0.6389,0.5632,0.6422,0.6757
5,0.6781,0.6259,0.0000,0.4347,0.5443
6,0.8102,0.6387,0.0000,0.4830,0.5963
7,0.8379,0.7148,0.4962,0.6829,0.7180
8,0.8157,0.6893,0.5399,0.6816,0.7070
9,0.8201,0.6809,0.4717,0.6575,0.6957
10,0.8134,0.6951,0.5322,0.6802,0.7090
11,0.8221,0.6937,0.5064,0.6741,0.7037
12,0.8052,0.6880,0.3860,0.6264,0.6760
13,0.8189,0.6929,0.5444,0.6854,0.7100
14,0.8179,0.7063,0.5600,0.6947,0.7177
15,0.8111,0.6989,0.5712,0.6937,0.7107
16,0.8075,0.6787,0.3253,0.6038,0.6560
17,0.8051,0.6923,0.5557,0.6844,0.7037
18,0.8073,0.6894,0.5089,0.6685,0.6953
19,0.8232,0.7089,0.5258,0.6860,0.7120
20,0.8012,0.6942,0.4432,0.6462,0.6807
21,0.8311,0.6838,0.3984,0.6378,0.6783
22,0.8200,0.6893,0.4100,0.6398,0.6817
23,0.8247,0.6956,0.4791,0.6665,0.6970
24,0.8126,0.7142,0.5982,0.7083,0.7227
25,0.8231,0.7088,0.5782,0.7033,0.7190
26,0.8130,0.7246,0.5223,0.6866,0.7123
27,0.8147,0.7144,0.5187,0.6826,0.7077
28,0.8065,0.7040,0.5255,0.6787,0.7033
29,0.8149,0.7004,0.3997,0.6383,0.6827
30,0.8028,0.7051,0.5025,0.6702,0.6983
31,0.8186,0.6972,0.4520,0.6559,0.6900
32,0.8137,0.6943,0.4235,0.6438,0.6817
33,0.7944,0.6903,0.4199,0.6349,0.6723
34,0.8033,0.6888,0.4367,0.6430,0.6783
35,0.8171,0.6874,0.4260,0.6435,0.6800
36,0.8141,0.7108,0.4884,0.6711,0.6997
37,0.8172,0.7009,0.4450,0.6544,0.6917
38,0.8110,0.7124,0.4415,0.6549,0.6917
39,0.8093,0.6930,0.4332,0.6451,0.6827
40,0.8032,0.7013,0.4324,0.6456,0.6830
41,0.8138,0.7196,0.4834,0.6723,0.7027
42,0.8065,0.7032,0.4519,0.6539,0.6893
43,0.8060,0.6879,0.3754,0.6231,0.6677
44,0.8149,0.7064,0.4481,0.6565,0.6913
45,0.7963,0.6750,0.2744,0.5819,0.6453
46,0.8087,0.6823,0.2844,0.5918,0.6540
47,0.8116,0.6850,0.3335,0.6100,0.6630
48,0.8182,0.6993,0.3965,0.6380,0.6827
49,0.8106,0.7101,0.4821,0.6676,0.6990
50,0.8065,0.6965,0.4114,0.6381,0.6777
51,0.8120,0.6851,0.3313,0.6094,0.6640
52,0.8155,0.6966,0.4595,0.6572,0.6920
53,0.8190,0.7030,0.4082,0.6434,0.6860
54,0.8162,0.7010,0.4698,0.6623,0.6933
55,0.8104,0.6936,0.4056,0.6365,0.6780
56,0.7969,0.6941,0.3664,0.6192,0.6680
57,0.8092,0.6838,0.3372,0.6101,0.6627
58,0.8144,0.6903,0.4108,0.6385,0.6797
59,0.8006,0.6971,0.3968,0.6315,0.6753
60,0.8084,0.6850,0.3982,0.6305,0.6723
61,0.8129,0.6984,0.4092,0.6401,0.6817
62,0.8120,0.6900,0.4130,0.6384,0.6797
63,0.8126,0.7008,0.4416,0.6517,0.6870
64,0.8179,0.6974,0.4462,0.6538,0.6880
65,0.8126,0.6990,0.4249,0.6455,0.6850
66,0.8036,0.6837,0.3371,0.6081,0.6613
67,0.8071,0.6937,0.3607,0.6205,0.6720
68,0.8079,0.6950,0.3722,0.6250,0.6743
69,0.8181,0.6884,0.3881,0.6315,0.6770
70,0.8037,0.7062,0.4261,0.6453,0.6847
71,0.8030,0.6920,0.3950,0.6300,0.6733
72,0.8063,0.6874,0.3648,0.6195,0.6670
73,0.8073,0.6826,0.3634,0.6178,0.6653
74,0.8039,0.6931,0.4171,0.6380,0.6780
75,0.8093,0.7032,0.4408,0.6511,0.6883
76,0.8072,0.6883,0.4051,0.6335,0.6743
77,0.8078,0.6940,0.4071,0.6363,0.6770
78,0.8149,0.6792,0.3481,0.6141,0.6663
79,0.8091,0.7048,0.4080,0.6406,0.6837
80,0.8108,0.6967,0.3919,0.6331,0.6767
81,0.8118,0.6816,0.3260,0.6064,0.6627
82,0.8045,0.6945,0.3940,0.6310,0.6743
83,0.8103,0.7021,0.4069,0.6398,0.6830
84,0.8096,0.7024,0.4388,0.6502,0.6877
85,0.8099,0.6883,0.3627,0.6203,0.6713
86,0.8057,0.6746,0.2854,0.5886,0.6517
87,0.8021,0.6946,0.4112,0.6360,0.6780
88,0.8013,0.6867,0.3787,0.6223,0.6683
89,0.8033,0.6984,0.3978,0.6332,0.6770
90,0.8068,0.6902,0.3971,0.6314,0.6747
91,0.8008,0.6845,0.4016,0.6289,0.6707
92,0.8229,0.6917,0.3802,0.6316,0.6790
93,0.8161,0.6811,0.3235,0.6069,0.6643
94,0.8009,0.6944,0.4157,0.6370,0.6770
95,0.8004,0.6782,0.3306,0.6031,0.6563
96,0.8041,0.6861,0.3532,0.6145,0.6650
97,0.8230,0.6736,0.3044,0.6003,0.6587
98,0.8230,0.6736,0.3044,0.6003,0.6587
99,0.8142,0.6683,0.2792,0.5872,0.6497
100,0.8142,0.6683,0.2792,0.5872,0.6497
