K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.6989,0.7093,0.6289,0.6790,0.6833
3,0.7616,0.6986,0.0000,0.4867,0.6033
4,0.8066,0.7248,0.7593,0.7636,0.7730
5,0.7464,0.6721,0.0000,0.4728,0.5840
6,0.7845,0.6723,0.0000,0.4856,0.6020
7,0.8227,0.8206,0.7420,0.7951,0.8050
8,0.8275,0.8194,0.8137,0.8202,0.8213
9,0.8149,0.8146,0.7568,0.7955,0.8023
10,0.8160,0.8113,0.7887,0.8053,0.8083
11,0.8108,0.8158,0.7571,0.7945,0.8010
12,0.8004,0.8035,0.7013,0.7684,0.7783
13,0.8106,0.8040,0.7316,0.7821,0.7910
14,0.8229,0.8064,0.7920,0.8071,0.8093
15,0.8229,0.8182,0.8057,0.8156,0.8170
16,0.8040,0.7943,0.6846,0.7610,0.7713
17,0.8121,0.8007,0.7635,0.7921,0.7957
18,0.8179,0.7954,0.7766,0.7966,0.7993
19,0.8296,0.8286,0.8058,0.8213,0.8227
20,0.8239,0.8313,0.7935,0.8162,0.8180
21,0.8305,0.8103,0.7645,0.8018,0.8070
22,0.8291,0.8207,0.7713,0.8070,0.8113
23,0.8202,0.8069,0.7508,0.7926,0.7983
24,0.8253,0.8115,0.8058,0.8142,0.8157
25,0.8325,0.8345,0.8278,0.8316,0.8320
26,0.8274,0.8273,0.7921,0.8156,0.8183
27,0.8263,0.8265,0.8081,0.8203,0.8213
28,0.8228,0.8239,0.7910,0.8126,0.8143
29,0.8184,0.8051,0.7297,0.7844,0.7910
30,0.8195,0.8166,0.7968,0.8110,0.8120
31,0.8279,0.8174,0.7856,0.8103,0.8127
32,0.8280,0.8291,0.7881,0.8151,0.8173
33,0.8155,0.8145,0.7524,0.7942,0.7983
34,0.8141,0.8107,0.7667,0.7972,0.8007
35,0.8187,0.8133,0.7493,0.7938,0.7987
36,0.8319,0.8314,0.7969,0.8201,0.8223
37,0.8326,0.8125,0.7723,0.8058,0.8097
38,0.8272,0.8206,0.7754,0.8077,0.8110
39,0.8272,0.8241,0.7890,0.8134,0.8160
40,0.8210,0.8011,0.7324,0.7848,0.7917
41,0.8330,0.8142,0.7324,0.7932,0.8000
42,0.8267,0.8233,0.7640,0.8046,0.8087
43,0.8241,0.8037,0.7314,0.7864,0.7927
44,0.8168,0.8007,0.7289,0.7821,0.7883
45,0.8145,0.8000,0.7186,0.7777,0.7850
46,0.8268,0.8050,0.7386,0.7901,0.7960
47,0.8224,0.8063,0.7145,0.7811,0.7897
48,0.8323,0.8240,0.7846,0.8137,0.8163
49,0.8267,0.8151,0.7619,0.8012,0.8053
50,0.8228,0.8113,0.7527,0.7956,0.8007
51,0.8186,0.8140,0.7534,0.7953,0.7997
52,0.8265,0.8091,0.7322,0.7893,0.7963
53,0.8359,0.8146,0.7596,0.8034,0.8080
54,0.8295,0.8253,0.7891,0.8146,0.8170
55,0.8138,0.8055,0.7485,0.7893,0.7940
56,0.8185,0.8110,0.7373,0.7889,0.7943
57,0.8259,0.8006,0.7053,0.7773,0.7863
58,0.8221,0.8083,0.7396,0.7900,0.7957
59,0.8352,0.8270,0.7708,0.8110,0.8153
60,0.8276,0.8035,0.7344,0.7885,0.7950
61,0.8264,0.8078,0.7358,0.7900,0.7963
62,0.8264,0.8152,0.7496,0.7971,0.8023
63,0.8320,0.8195,0.7806,0.8107,0.8137
64,0.8355,0.8298,0.8022,0.8225,0.8243
65,0.8299,0.8107,0.7591,0.7999,0.8050
66,0.8236,0.8038,0.7257,0.7844,0.7920
67,0.8257,0.7982,0.7238,0.7825,0.7897
68,0.8227,0.7990,0.7314,0.7844,0.7910
69,0.8274,0.7947,0.7005,0.7742,0.7840
70,0.8162,0.8058,0.7370,0.7863,0.7917
71,0.8252,0.7981,0.7252,0.7828,0.7897
72,0.8344,0.7996,0.7348,0.7896,0.7957
73,0.8250,0.7929,0.7067,0.7749,0.7830
74,0.8264,0.8038,0.7190,0.7831,0.7907
75,0.8291,0.8095,0.7474,0.7953,0.8010
76,0.8188,0.7990,0.7147,0.7775,0.7850
77,0.8236,0.8095,0.7264,0.7865,0.7930
78,0.8187,0.7944,0.7172,0.7768,0.7840
79,0.8275,0.8068,0.7298,0.7881,0.7947
80,0.8262,0.8034,0.7151,0.7816,0.7893
81,0.8293,0.8081,0.7433,0.7936,0.7990
82,0.8285,0.8040,0.7382,0.7902,0.7960
83,0.8274,0.8067,0.7314,0.7885,0.7950
84,0.8299,0.8057,0.7473,0.7943,0.7993
85,0.8272,0.8000,0.7314,0.7862,0.7930
86,0.8224,0.7940,0.7012,0.7725,0.7820
87,0.8255,0.7970,0.7270,0.7832,0.7897
88,0.8202,0.7967,0.7228,0.7799,0.7867
89,0.8212,0.7931,0.7130,0.7757,0.7833
90,0.8347,0.8106,0.7435,0.7963,0.8023
91,0.8228,0.7995,0.7331,0.7851,0.7913
92,0.8286,0.8099,0.7478,0.7954,0.8007
93,0.8279,0.7896,0.7001,0.7725,0.7823
94,0.8251,0.8102,0.7641,0.7998,0.8033
95,0.8196,0.8059,0.7380,0.7878,0.7937
96,0.8260,0.8035,0.7338,0.7878,0.7947
97,0.8265,0.7955,0.7243,0.7821,0.7893
98,0.8265,0.7955,0.7243,0.7821,0.7893
99,0.8226,0.7929,0.7018,0.7724,0.7813
100,0.8226,0.7929,0.7018,0.7724,0.7813
